College Name,Zone,1st year,Total No of students
PPG INSTITUTE OF TECHNOLOGY ,Zone IX : Coimbatore - I,236,689
PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE,Zone IV : MIT - Chromepet,185,775
PSG Institute of Technology and Applied Research ,Zone IX : Coimbatore - I,446,1424
PSN ENGINEERING COLLEGE,Zone XVI : Tirunelveli-I,160,683
PSN INSTITUTE OF TECHNOLOGY AND SCIENCE ,Zone XVI : Tirunelveli-I,110,559
PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XV : Dindigul,0,3224
Pallavan College of Engineering,Zone VI : Arni,19,222
Panimalar Institute of Technology ,Zone II : Chennai-II,0,2043
Panimalar engineering college Chennai city campus,Zone I : Chennai-I,362,362
Parisutham Institute of Technology and Science ,Zone XIII : Pattukkottai,96,296
Pavendar Bharathidasan College of Engineering and Technology,Zone XVIII : Trichy,209,516
"Pollachi institute of engineering and technology, pollachi",Zone X : Coimbatore - II,83,464
Prathyusha engineering college,Zone I : Chennai-I,455,1461
Prince Dr.K.Vasudevan College of Engineering and Technology,Zone IV : MIT - Chromepet,107,363
Priyadarshi Engineering college,Zone VII : Dharmapuri,200,677
Quannta school of software engineering,Zone V : Tindivanam,24,24
R V S COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IX : Coimbatore - I,272,945
R.V.S. College of Engineering,Zone XV : Dindigul,133,508
RAJIV GANDHI COLLEGE OF ENGINEERING,Zone II : Chennai-II,63,602
RAMCO INSTITUTE OF TECHNOLOGY,Zone XXII : Madurai,590,1584
RANIPPETTAI ENGINEERING COLLEGE,Zone VI : Arni,5,101
RATHINAM TECHNICAL CAMPUS,Zone X : Coimbatore - II,0,844
ROEVER ENGINEERING COLLEGE,Zone XII : Ariyalur,348,1076
ROHINI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XX : Tirunelveli-II,553,2240
RRASE COLLEGE OF ENGINEERING,Zone IV : MIT - Chromepet,191,926
RVS EDUCATIONAL TRUSTS GROUP OF INSTITUTIONS,Zone XV : Dindigul,114,500
RVS TECHNICAL CAMPUS-COIMBATORE,Zone IX : Coimbatore - I,242,946
Rajalakshmi Institute of Technology ,Zone II : Chennai-II,789,2101
Rajas Institute of technology ,Zone XVII : Nagercoil,54,208
Renganayagi Varatharaj college of engineering ,Zone XVI : Tirunelveli-I,118,343
S.K.P. ENGINEERING COLLEGE,Zone V : Tindivanam,161,436
S.S.M. COLLEGE OF ENGINEERING,Zone XI : Erode,184,1148
S.VEERASAMY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVI : Tirunelveli-I,118,387
SACS M.A.V.M.M ENGINEERING COLLEGE,Zone XXII : Madurai,149,621
SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VIII : Salem,351,1226
